img,x,y,brightness,alpha,surrounding_brightness
src/data/1.png,13,0,42,252,35
src/data/1.png,14,0,41,255,35
src/data/1.png,15,0,38,255,34
src/data/1.png,16,0,37,255,33
src/data/1.png,17,0,36,255,34
src/data/1.png,18,0,40,255,36
src/data/1.png,19,0,45,255,38
src/data/1.png,20,0,45,3,38
src/data/1.png,9,1,40,252,29
src/data/1.png,10,1,34,255,31
src/data/1.png,11,1,29,255,32
src/data/1.png,12,1,28,255,34
src/data/1.png,13,1,30,255,35
src/data/1.png,14,1,29,255,35
src/data/1.png,15,1,27,255,35
src/data/1.png,16,1,27,255,35
src/data/1.png,17,1,27,255,35
src/data/1.png,18,1,30,255,35
src/data/1.png,19,1,30,255,36
src/data/1.png,20,1,32,255,35
src/data/1.png,21,1,32,255,34
src/data/1.png,22,1,38,255,33
src/data/1.png,23,1,45,255,34
src/data/1.png,24,1,45,3,34
src/data/1.png,6,2,48,252,36
src/data/1.png,7,2,38,255,35
src/data/1.png,8,2,29,255,34
src/data/1.png,9,2,27,255,35
src/data/1.png,10,2,29,255,36
src/data/1.png,11,2,33,255,35
src/data/1.png,12,2,37,255,33
src/data/1.png,13,2,35,255,32
src/data/1.png,14,2,36,255,31
src/data/1.png,15,2,38,255,31
src/data/1.png,16,2,39,255,31
src/data/1.png,17,2,38,255,31
src/data/1.png,18,2,36,255,31
src/data/1.png,19,2,34,255,32
src/data/1.png,20,2,32,255,31
src/data/1.png,21,2,30,255,34
src/data/1.png,22,2,30,255,35
src/data/1.png,23,2,29,255,36
src/data/1.png,24,2,30,255,34
src/data/1.png,25,2,35,255,34
src/data/1.png,26,2,44,255,35
src/data/1.png,27,2,44,3,38
src/data/1.png,5,3,40,252,42
src/data/1.png,6,3,36,255,40
src/data/1.png,7,3,32,255,38
src/data/1.png,8,3,31,255,34
src/data/1.png,9,3,36,255,32
src/data/1.png,10,3,47,255,34
src/data/1.png,11,3,47,3,36
src/data/1.png,22,3,40,252,30
src/data/1.png,23,3,34,255,31
src/data/1.png,24,3,29,255,31
src/data/1.png,25,3,27,255,33
src/data/1.png,26,3,32,255,35
